Neighbourhood Name,Agincourt South-Malvern West,Agincourt North,Milliken,Morningside Heights,Malvern West,Malvern East
"  French, n.o.s.",165,160,110,90,110,275
  German,190,215,90,70,130,215
  Chinese,9870,13770,15410,1330,1200,1760
  Italian,590,165,155,90,125,145
  Indian (India),2415,1670,785,3665,2945,3400
  Ukrainian,130,100,30,10,30,80
  Dutch,55,25,15,35,55,80
  Polish,110,100,25,30,85,165
  Québécois,0,0,0,0,0,0
"  British Isles, n.o.s.",195,215,100,100,75,135
  Filipino,1090,1385,1115,2250,1985,3060
  French Canadian,45,35,15,15,35,20
"  Caucasian (White), n.o.s.",105,55,55,75,70,165
"  First Nations (North American Indian), n.o.s.",20,30,0,25,25,105
  Métis,35,0,0,30,30,40
"  European, n.o.s.",70,65,55,125,65,130
  Russian,55,80,0,10,10,45
  Norwegian,0,10,15,0,0,10
  Welsh,30,85,15,10,10,30
  Portuguese,110,200,95,215,65,275
  American,50,35,25,40,20,90
  Spanish,185,190,190,150,195,310
  Swedish,15,35,25,0,0,10
  Hungarian,60,40,30,0,10,50
  Acadian,10,25,20,0,20,15
  Pakistani,410,310,80,700,845,690
"  African, n.o.s.",320,350,215,450,470,1010
  Jewish,35,15,50,55,15,15
  Punjabi,90,85,110,150,295,180
  Vietnamese,430,225,285,145,195,285
"  Arab, n.o.s.",85,150,25,65,120,235
  Greek,510,220,125,10,55,115
  Jamaican,520,500,405,795,865,1590
"  Asian, n.o.s.",590,1045,820,400,250,550
"  Cree, n.o.s.",0,0,0,0,0,0
  Korean,130,65,45,0,20,95
  Romanian,35,35,15,30,55,20
  Lebanese,85,35,0,0,10,30
  Iranian,45,25,55,0,85,50
"  Christian, n.i.e.",135,150,165,25,115,185
  Danish,0,15,0,0,0,0
"  North American Indigenous, n.o.s.",20,0,0,0,0,30
  Sikh,80,0,55,140,105,75
  Austrian,20,10,20,0,0,20
  Belgian,10,0,0,0,0,0
  Haitian,0,30,0,15,0,90
  Hindu,295,370,230,1685,470,775
  Mexican,60,35,20,25,15,35
  Mennonite,0,0,0,0,0,0
  Swiss,20,0,0,0,0,0
  Finnish,20,0,0,0,0,15
  Sri Lankan,835,1580,610,5100,1445,1995
  Croatian,15,10,0,0,0,20
  Japanese,50,50,70,0,20,40
"  South Asian, n.o.s.",420,265,180,915,435,830
"  Mi'kmaq, n.o.s.",0,20,0,0,15,0
"  Northern European, n.o.s.",10,15,10,0,0,0
  Muslim,100,55,60,340,400,180
  Egyptian,55,80,50,40,45,85
"  Latin, Central or South American, n.o.s.",90,20,25,75,80,170
  Tamil,715,1435,855,4380,1405,1805
  Icelandic,0,0,0,0,0,0
  Colombian,40,45,0,0,0,45
  Moroccan,10,0,0,40,15,50
  Czech,0,0,0,0,30,20
  Syrian,35,40,0,35,55,145
  Guyanese,295,255,200,810,345,960
  Afghan,190,140,80,165,80,230
"  Black, n.o.s.",165,170,105,255,310,465
  Serbian,35,0,20,0,0,0
  Ojibway,0,0,0,0,0,20
  Newfoundlander,10,10,0,0,0,60
  Hong Konger,465,640,720,35,40,195
  Ontarian,25,0,50,50,0,45
  Persian,100,0,15,45,40,0
  Trinidadian/Tobagonian,175,170,75,255,210,575
  Turkish,35,15,25,0,40,20
"  Inuit, n.o.s.",0,0,0,0,0,0
  Bangladeshi,215,80,50,195,280,345
  Algerian,0,0,0,0,95,20
  Brazilian,50,0,0,0,0,0
  Nigerian,45,10,20,95,25,170
  Armenian,90,105,75,0,0,10
  Slovak,0,0,0,0,0,0
"  Eastern European, n.o.s.",0,0,0,0,0,0
  Somali,15,70,0,80,50,140
  Taiwanese,145,145,65,0,0,35
  Iraqi,0,35,25,0,35,0
  Salvadorean,35,0,0,0,45,40
  African Caribbean,175,110,110,215,270,550
"  East or Southeast Asian, n.o.s.",170,395,225,130,125,130
"  West or Central Asian or Middle Eastern, n.o.s.",15,45,0,35,40,0
"  Caribbean, n.o.s.",95,75,95,255,190,365
  Algonquin,0,0,0,0,0,0
"  West Indian, n.o.s.",115,215,40,380,210,330
  Lithuanian,0,0,0,0,0,0
  South African,0,20,0,0,30,30
  Australian,0,0,0,0,0,0
  Palestinian,30,25,0,0,0,0
  Chilean,0,0,0,0,0,30
  Congolese,45,0,0,0,0,130
  Nova Scotian,0,10,0,0,0,0
  Ethiopian,30,20,0,80,80,90
"  Hispanic, n.o.s.",35,30,0,50,15,65
  Peruvian,15,20,0,50,0,20
  Yoruba,65,0,0,35,50,50
  Cambodian (Khmer),0,20,0,0,0,0
  Berber,0,0,0,0,0,0
  Albanian,25,0,0,0,0,0
  Maltese,15,0,0,0,0,0
  Macedonian,60,55,30,0,15,25
  Slovenian,0,0,0,0,0,0
"  Western European, n.o.s.",10,0,0,0,0,0
  New Brunswicker,0,0,0,0,0,0
  Gujarati,60,25,0,110,180,200
  Eritrean,55,60,0,0,0,55
  African Canadian,25,50,30,30,85,140
  Israeli,0,0,0,0,0,0
  Mohawk,0,10,0,0,0,0
"  Czechoslovakian, n.o.s.",0,15,0,0,0,25
  Bulgarian,0,0,0,0,10,10
  Albertan,0,0,0,0,0,0
  Ghanaian,20,0,0,55,30,105
  Barbadian,60,60,15,105,90,205
  African American,95,0,15,60,35,45
"  Yugoslavian, n.o.s.",0,0,0,0,0,15
  Tunisian,0,0,0,0,0,0
"  Slavic, n.o.s.",10,0,0,0,0,0
  Cuban,70,15,0,35,30,50
  Bosnian,0,0,0,0,0,0
  Venezuelan,15,0,0,25,0,15
"  Innu/Montagnais, n.o.s.",0,0,0,0,0,0
  Latvian,0,15,0,0,0,0
  Bengali,70,40,40,95,120,105
  Cameroonian,0,0,0,0,50,0
  Guatemalan,0,20,0,0,0,0
  Indonesian,10,110,0,0,0,30
  Laotian,20,0,0,0,0,20
  Ilocano,55,35,25,55,125,115
  Northern Irish,0,10,0,0,0,30
"  Celtic, n.o.s.",0,0,0,0,0,0
  British Columbian,0,0,0,0,0,0
  Ecuadorian,0,20,10,0,0,55
  Franco Ontarian,0,0,0,0,0,0
  Argentinian,0,0,0,0,0,0
  Estonian,0,0,0,0,0,0
  Kurdish,0,10,0,0,0,0
  Fijian,0,0,0,0,0,0
  Jatt,10,0,0,0,0,0
"  North American, n.o.s.",0,0,0,0,0,0
  Coptic,0,70,0,0,0,0
  Thai,10,0,0,0,0,0
  Dominican,40,0,0,25,0,10
  Nepali,20,0,0,30,40,30
  Kabyle,0,0,0,0,0,0
  Assyrian,0,0,0,0,0,0
  Igbo,15,0,0,0,30,60
  Byelorussian,0,0,0,0,0,0
"  Dene, n.o.s.",0,0,0,0,0,0
"  Blackfoot, n.o.s.",0,0,0,0,0,0
  Abenaki,0,0,0,0,0,0
  Moldovan,0,0,0,0,0,0
"  Iroquois (Haudenosaunee), n.o.s.",0,0,0,0,0,0
  New Zealander,0,0,0,0,0,20
  Sudanese,35,40,25,0,10,30
  Breton,0,0,0,0,0,0
  Pennsylvania Dutch,0,0,0,0,0,25
  Malaysian,80,40,55,35,15,15
  Plains Cree,0,0,0,0,0,0
"  North African, n.o.s.",0,0,0,0,0,0
  Huron (Wendat),0,0,0,0,0,0
  Saskatchewanian,0,0,0,0,0,0
  Buddhist,135,40,70,25,0,0
  Gaspesian,0,0,0,0,0,0
  Norman,0,0,0,0,0,0
"  Southern or East African, n.o.s.",35,10,0,15,10,35
  Ivorian,0,0,0,0,0,0
  Saulteaux,0,0,0,0,0,0
"  Anishinaabe, n.o.s.",0,0,0,0,0,10
  Burundian,0,0,0,0,0,20
  Tigrinya,0,0,0,0,0,0
  Nicaraguan,0,0,0,35,0,0
  Mauritian,20,20,0,0,30,0
  Kenyan,20,0,0,15,0,0
  Oji-Cree,0,0,0,0,0,0
  Vincentian,45,35,10,15,50,90
  Jordanian,0,0,0,0,0,0
  Manitoban,0,0,0,0,0,0
  Cape Bretoner,0,0,0,0,0,0
  Rwandan,0,0,0,0,0,20
  Grenadian,40,60,0,55,85,125
  Malayali,0,0,0,55,0,15
  Chaldean,0,0,0,0,0,0
  Sinhalese,50,45,15,45,45,35
  Mayan,0,0,0,0,0,0
  Honduran,0,0,0,0,0,0
  Cherokee,0,0,0,0,0,0
  Qalipu Mi'kmaq,0,0,0,0,0,0
  Indo-Caribbean,30,20,0,115,50,160
  Flemish,0,0,0,0,0,0
  United Empire Loyalist,0,0,0,0,0,0
  Senegalese,0,0,0,0,0,0
  Azerbaijani,0,0,0,0,25,0
  Sicilian,0,0,0,0,0,0
  Pashtun,0,90,0,0,55,45
  Malay,0,0,0,50,0,15
  Goan,30,45,40,35,0,0
"  Bantu, n.o.s.",0,0,0,0,0,0
  Tibetan,0,0,0,0,0,0
  Zimbabwean,0,0,0,0,0,0
  Burmese,0,0,0,0,10,0
  Mongolian,15,0,0,0,0,0
  Azorean,0,0,0,0,0,0
  Atikamekw,0,0,0,0,0,0
  Bamileke,0,0,0,0,0,0
  Indo-Guyanese,60,35,15,150,55,90
  Ugandan,0,0,0,0,0,40
  Oromo,0,0,0,0,10,0
  Tanzanian,0,15,0,15,0,15
  Yemeni,0,0,0,0,0,0
  Central African,0,0,0,0,0,0
  Libyan,0,0,0,0,15,0
  Basque,0,0,0,0,0,0
  Uruguayan,0,0,0,0,0,0
"  Akan, n.o.s.",0,0,0,0,0,0
"  Central or West African, n.o.s.",0,0,20,40,0,0
  Igorot,0,0,0,0,0,0
  Fulani,0,0,0,0,0,0
  Woodland Cree,0,0,0,0,0,0
  Guinean,0,0,0,0,0,0
  St. Lucian,0,0,0,0,10,45
  Prince Edward Islander,0,0,0,0,0,0
  Maliseet,0,0,0,0,0,0
  Beninese,0,0,0,0,0,0
  Telugu,55,0,0,0,0,35
  Roma,0,0,0,0,50,0
  Costa Rican,0,0,0,0,0,0
  African Nova Scotian,0,0,0,0,25,0
  Malagasy,0,0,0,0,0,0
  Kashmiri,0,0,0,0,0,15
  Singaporean,10,0,0,0,0,20
  Karen,0,0,0,0,0,0
  Edo,25,0,0,0,0,30
  Tajik,0,0,0,35,0,0
  Amhara,0,0,0,0,45,55
  Paraguayan,0,0,0,0,0,0
Total - Religion for the population in private households - 25% sample data,24170,27540,23980,24940,17320,26100
  Buddhist,1210,1550,1480,355,335,430
  Christian,8070,8785,7135,7940,6850,11705
"    Christian, n.o.s.",2235,2260,2070,2055,1775,2905
    Anabaptist,30,0,0,0,0,0
    Anglican,235,505,280,230,270,460
    Baptist,230,310,260,105,215,360
    Catholic,3525,4295,3615,4125,3295,5910
    Christian Orthodox,620,425,230,135,230,275
    Jehovah's Witness,55,50,40,55,75,70
    Latter Day Saints,0,40,0,35,0,10
    Lutheran,40,35,55,20,15,40
    Methodist and Wesleyan (Holiness),55,35,70,105,80,70
    Pentecostal and other Charismatic,430,165,125,495,395,820
    Presbyterian,95,95,65,80,110,170
    Reformed,10,0,0,0,0,0
    United Church,170,210,90,50,65,95
    Other Christian and Christian-related traditions,330,355,235,450,325,515
  Hindu,2830,3040,1620,11155,3545,5580
  Jewish,20,20,25,0,0,10
  Muslim,1880,1535,565,3010,3865,3445
  Sikh,200,215,175,470,395,490
  Traditional (North American Indigenous) spirituality,0,0,0,0,0,0
  Other religions and spiritual traditions,255,215,220,80,10,155
  No religion and secular perspectives,9700,12170,12760,1935,2310,4265
Total - Mobility status 1 year ago - 25% sample data,23985,27385,23850,24735,17175,25935
  Non-movers,20870,25100,21870,23285,15450,23570
  Movers,3120,2285,1975,1450,1725,2365
    Non-migrants,2350,1655,1445,1065,1310,1870
    Migrants,770,625,535,385,415,495
      Internal migrants,390,360,275,215,190,235
        Intraprovincial migrants,335,295,240,205,170,195
        Interprovincial migrants,60,65,35,10,0,45
      External migrants,380,270,260,170,225,260
Total - Mobility status 5 years ago - 25% sample data,23225,26575,23010,23715,16495,25000
  Non-movers,14380,19300,16820,18575,11525,17710
  Movers,8840,7275,6190,5145,4970,7290
    Non-migrants,4870,4115,3575,3085,2975,4355
    Migrants,3970,3160,2610,2060,2000,2940
      Internal migrants,1365,1455,1335,885,685,975
        Intraprovincial migrants,1045,1195,1165,810,635,725
        Interprovincial migrants,325,260,170,75,55,250
      External migrants,2605,1705,1275,1180,1310,1970
Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,21165,24135,20760,20860,14485,22180
  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data,5650,5465,4355,6245,3960,6070
    Median employment income in 2020 for full-year full-time workers in 2020 ($),58000,54400,54800,56000,48800,53200
    Average employment income in 2020 for full-year full-time workers in 2020 ($),64300,60950,60300,62000,53400,58350
  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data,5790,6525,5115,5495,4010,5875
    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($),14100,13500,12900,16600,14900,15700
    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($),21860,21180,19740,24260,21000,23260
Total - Employment income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,21165,24135,20760,20860,14485,22180
  Number of employment income recipients in 2019 who worked full-year full-time in 2020 - 25% sample data,5615,5400,4300,6255,3920,6080
    Median employment income in 2019 for full-year full-time workers in 2020 ($),53200,50400,51200,51600,44000,49200
    Average employment income in 2019 for full-year full-time workers in 2020 ($),59050,56950,57200,58300,48840,54050
  Number of employment income recipients in 2019 who worked part-year or part-time in 2020 - 25% sample data,5390,6040,4825,5190,3670,5510
    Median employment income in 2019 of those who worked part-year or part-time in 2020 ($),21800,20400,20200,23800,22400,22800
    Average employment income in 2019 of those who worked part-year or part-time in 2020 ($),28080,26640,25960,29400,26440,27800
Total - Population aged 15 years and over by labour force status - 25% sample data,21165,24135,20760,20860,14485,22180
  In the labour force,12430,13130,10640,13210,8880,13145
    Employed,10645,10860,8615,11235,7325,11020
    Unemployed,1785,2270,2020,1975,1550,2130
  Not in the labour force,8730,11000,10120,7650,5610,9035
Participation rate,58.7,54.4,51.3,63.3,61.3,59.3
Employment rate,50.3,45,41.5,53.9,50.6,49.7
Unemployment rate,14.4,17.3,19,15,17.5,16.2
Total - Population aged 15 years and over by work activity during the reference year - 25% sample data,21165,24135,20760,20860,14485,22180
  Did not work,9055,11530,10720,8595,6065,9695
  Worked,12110,12605,10040,12270,8420,12480
    Worked full year full time,5875,5690,4560,6420,4095,6235
    Worked part year and/or part time,6235,6915,5480,5850,4330,6245
    Average weeks worked in reference year,38.4,37.3,37.2,39.9,38.7,39.3
Total - Secondary (high) school diploma or equivalency certificate for the population aged 15 years and over in private households - 25% sample data,21165,24135,20760,20860,14485,22180
  No high school diploma or equivalency certificate,4095,5670,5595,4330,2750,4260
  With high school diploma or equivalency certificate,17070,18465,15165,16530,11735,17910
"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",21165,24135,20760,20860,14485,22180
"  No certificate, diploma or degree",3900,5460,5440,4140,2610,3980
  High (secondary) school diploma or equivalency certificate,5540,6760,6285,6420,4370,6645
"  Postsecondary certificate, diploma or degree",11725,11915,9035,10305,7510,11555
    Postsecondary certificate or diploma below bachelor level,4870,5280,4130,4975,3635,6155
      Apprenticeship or trades certificate or diploma,610,810,575,680,575,965
        Non-apprenticeship trades certificate or diploma,310,475,335,395,380,550
        Apprenticeship certificate,300,330,235,285,195,410
"      College, CEGEP or other non-university certificate or diploma",3555,3795,2915,3585,2555,4380
      University certificate or diploma below bachelor level,710,680,640,705,510,815
    Bachelor’s degree or higher,6855,6635,4905,5330,3875,5395
      Bachelor's degree,4780,4985,3695,3995,2735,3910
      University certificate or diploma above bachelor level,440,410,250,400,200,295
"      Degree in medicine, dentistry, veterinary medicine or optometry",160,100,80,110,110,55
      Master's degree,1295,1045,780,740,780,1055
      Earned doctorate,175,100,95,80,50,75
Total - Major field of study - Classification of Instructional Programs (CIP) 2021 for the population aged 15 years and over in private households - 25% sample data,21165,24135,20760,20860,14485,22180
"  No postsecondary certificate, diploma or degree",9440,12215,11725,10560,6975,10625
  Education,380,580,375,320,320,465
    13. Education,380,580,375,320,320,465
"  Visual and performing arts, and communications technologies",360,385,300,205,200,300
    10. Communications technologies/technicians and support services,50,45,50,25,30,50
    50. Visual and performing arts,310,345,245,180,175,245
  Humanities,460,610,430,445,330,555
"    16. Indigenous and foreign languages, literatures, and linguistics",90,110,90,50,55,30
    23. English language and literature/letters,125,125,105,80,60,95
"    24. Liberal arts and sciences, general studies and humanities",140,225,140,250,110,315
    30A Interdisciplinary humanities,10,10,0,0,10,0
    38. Philosophy and religious studies,10,35,35,10,30,35
    39. Theology and religious vocations,45,15,20,10,40,25
    54. History,40,75,25,25,30,25
    55. French language and literature/lettersCAN,0,20,15,10,0,20
  Social and behavioural sciences and law,1235,1210,985,1125,760,1285
"    05. Area, ethnic, cultural, gender, and group studies",25,15,0,0,15,20
"    09. Communication, journalism and related programs",135,120,110,90,50,100
    19. Family and consumer sciences/human sciences,270,215,190,280,230,325
    22. Legal professions and studies,195,170,100,145,60,180
    30B Interdisciplinary social and behavioural sciences,20,25,20,20,15,10
    42. Psychology,170,155,155,145,120,170
    45. Social sciences,435,515,400,440,275,475
"  Business, management and public administration",3175,3300,2560,2895,1960,3065
    30.16 Accounting and computer science,0,0,10,15,10,10
    44. Public administration and social service professions,110,165,80,180,165,165
"    52. Business, management, marketing and related support services",3065,3135,2470,2690,1790,2890
  Physical and life sciences and technologies,715,670,515,700,425,555
    26. Biological and biomedical sciences,285,295,205,250,200,225
    30.01 Biological and physical sciences,195,160,115,300,120,165
    30C Other interdisciplinary physical and life sciences,10,15,20,20,20,15
    40. Physical sciences,205,175,155,110,65,100
    41. Science technologies/technicians,15,25,15,20,30,50
"  Mathematics, computer and information sciences",1075,1005,820,745,610,730
    11. Computer and information sciences and support services,885,720,615,660,520,645
    25. Library science,25,20,20,15,0,0
    27. Mathematics and statistics,140,230,160,65,80,90
"    30D Interdisciplinary mathematics, computer and information sciences",20,35,25,0,10,0
"  Architecture, engineering, and related trades",2465,2230,1625,1760,1465,2100
    04. Architecture and related services,120,85,40,90,55,85
    14. Engineering,1220,1005,790,770,605,840
    15. Engineering/engineering-related technologies/technicians,550,565,375,410,330,475
    30.12 Historic preservation and conservation,0,0,0,0,0,0
    46. Construction trades,175,205,140,170,195,220
    47. Mechanic and repair technologies/technicians,300,245,210,250,215,360
    48. Precision production,105,120,75,70,60,120
"  Agriculture, natural resources and conservation",100,155,105,105,75,95
    01. Agricultural and veterinary sciences/services/operations and related fields,45,80,75,65,70,70
    03. Natural resources and conservation,55,75,25,35,10,25
  Health and related fields,1410,1390,1015,1615,1105,1810
    30.37 Design for human health,0,0,0,0,0,0
"    31. Parks, recreation, leisure, fitness, and kinesiology",70,65,30,30,40,70
    51. Health professions and related programs,1310,1310,975,1555,1050,1725
    60. Health professions residency/fellowship programs,0,0,0,0,0,0
    61. Medical residency/fellowship programs,25,10,10,30,20,15
"  Personal, protective and transportation services",355,385,305,390,250,585
"    12. Culinary, entertainment, and personal services",250,285,235,200,165,330
"    28. Military science, leadership and operational art",0,0,0,0,0,0
    29. Military technologies and applied sciences,0,0,0,0,0,0
    43. Security and protective services,60,50,60,110,50,145
    49. Transportation and materials moving,45,50,10,80,35,95
  Other,0,0,0,0,0,0
Total - Secondary (high) school diploma or equivalency certificate for the population aged 25 to 64 years in private households - 25% sample data,13855,14525,12760,13520,9390,14085
  No high school diploma or equivalency certificate,1790,2795,3035,2135,1350,1905
  With high school diploma or equivalency certificate,12060,11730,9720,11385,8045,12180
"Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",13855,14525,12760,13520,9390,14085
"  No certificate, diploma or degree",1685,2650,2970,2010,1255,1760
  High (secondary) school diploma or equivalency certificate,3160,3610,3620,3675,2380,3725
"  Postsecondary certificate, diploma or degree",9010,8265,6170,7835,5755,8605
    Postsecondary certificate or diploma below bachelor level,3465,3405,2725,3770,2630,4275
      Apprenticeship or trades certificate or diploma,325,455,315,480,380,555
        Non-apprenticeship trades certificate or diploma,200,290,190,265,245,335
        Apprenticeship certificate,125,165,125,215,135,220
"      College, CEGEP or other non-university certificate or diploma",2660,2540,2030,2765,1890,3180
      University certificate or diploma below bachelor level,480,405,380,520,360,540
    Bachelor’s degree or higher,5545,4860,3440,4060,3125,4335
      Bachelor's degree,3855,3555,2525,2940,2120,3055
      University certificate or diploma above bachelor level,330,315,175,335,165,210
"      Degree in medicine, dentistry, veterinary medicine or optometry",125,80,65,90,100,50
      Master's degree,1090,850,610,645,690,960
      Earned doctorate,145,65,70,55,45,55
Total - Major field of study - Classification of Instructional Programs (CIP) 2021 for the population aged 25 to 64 years in private households - 25% sample data,13855,14525,12760,13520,9390,14085
"  No postsecondary certificate, diploma or degree",4845,6265,6590,5680,3640,5485
  Education,245,345,205,205,245,310
    13. Education,245,345,205,205,245,310
"  Visual and performing arts, and communications technologies",300,270,225,150,150,235
    10. Communications technologies/technicians and support services,45,25,45,20,20,25
    50. Visual and performing arts,260,245,185,140,130,210
  Humanities,360,370,230,340,250,380
"    16. Indigenous and foreign languages, literatures, and linguistics",85,70,45,40,35,25
    23. English language and literature/letters,105,70,75,65,35,65
"    24. Liberal arts and sciences, general studies and humanities",105,125,55,175,75,220
    30A Interdisciplinary humanities,0,0,0,0,10,0
    38. Philosophy and religious studies,10,25,15,10,30,25
    39. Theology and religious vocations,25,10,20,10,35,15
    54. History,40,50,15,20,20,15
    55. French language and literature/lettersCAN,0,15,0,10,0,15
  Social and behavioural sciences and law,975,855,675,855,570,950
"    05. Area, ethnic, cultural, gender, and group studies",10,10,0,10,15,15
"    09. Communication, journalism and related programs",95,90,85,60,45,80
    19. Family and consumer sciences/human sciences,215,140,110,225,160,225
    22. Legal professions and studies,160,130,85,120,40,150
    30B Interdisciplinary social and behavioural sciences,15,0,20,10,15,10
    42. Psychology,145,125,100,110,85,130
    45. Social sciences,335,360,265,325,210,345
"  Business, management and public administration",2505,2390,1885,2210,1560,2310
    30.16 Accounting and computer science,0,0,10,15,10,0
    44. Public administration and social service professions,85,125,55,150,140,125
"    52. Business, management, marketing and related support services",2420,2260,1820,2040,1410,2175
  Physical and life sciences and technologies,555,460,310,515,320,400
    26. Biological and biomedical sciences,230,235,130,175,160,160
    30.01 Biological and physical sciences,155,105,85,230,85,130
    30C Other interdisciplinary physical and life sciences,10,10,10,10,0,10
    40. Physical sciences,160,100,75,85,50,65
    41. Science technologies/technicians,0,10,15,15,10,35
"  Mathematics, computer and information sciences",905,785,600,665,495,645
    11. Computer and information sciences and support services,775,600,465,605,430,580
    25. Library science,25,10,20,10,0,0
    27. Mathematics and statistics,95,150,90,50,55,65
"    30D Interdisciplinary mathematics, computer and information sciences",10,20,25,0,10,0
"  Architecture, engineering, and related trades",1695,1460,1040,1275,1080,1510
    04. Architecture and related services,75,60,30,45,40,60
    14. Engineering,915,730,530,590,470,665
    15. Engineering/engineering-related technologies/technicians,340,335,245,310,240,320
    30.12 Historic preservation and conservation,0,0,0,0,0,0
    46. Construction trades,105,135,75,110,130,135
    47. Mechanic and repair technologies/technicians,190,135,110,165,155,255
    48. Precision production,70,70,55,55,45,75
"  Agriculture, natural resources and conservation",60,115,80,65,60,45
    01. Agricultural and veterinary sciences/services/operations and related fields,30,50,55,30,50,30
    03. Natural resources and conservation,30,65,20,35,10,20
  Health and related fields,1130,960,685,1270,850,1405
    30.37 Design for human health,0,0,0,0,0,0
"    31. Parks, recreation, leisure, fitness, and kinesiology",55,40,15,30,20,35
    51. Health professions and related programs,1055,910,665,1220,810,1355
    60. Health professions residency/fellowship programs,0,0,0,0,0,0
    61. Medical residency/fellowship programs,20,10,0,20,20,20
"  Personal, protective and transportation services",270,255,230,285,170,410
"    12. Culinary, entertainment, and personal services",180,185,170,150,110,235
"    28. Military science, leadership and operational art",0,0,0,0,0,0
    29. Military technologies and applied sciences,0,0,0,0,0,0
    43. Security and protective services,55,35,50,80,40,110
    49. Transportation and materials moving,30,30,0,55,20,70
  Other,0,0,0,0,0,0
Total - Location of study compared with province or territory of residence for the population aged 25 to 64 years in private households - 25% sample data,13855,14525,12760,13520,9390,14085
"  No postsecondary certificate, diploma or degree",4845,6265,6590,5680,3640,5485
"  Postsecondary certificate, diploma or degree",9010,8265,6170,7835,5755,8605
    Location of study inside Canada,5435,5035,3985,5010,3175,4980
      Same as province or territory of residence,5220,4850,3825,4930,3080,4845
      Different than province or territory of residence,215,180,160,75,95,135
    Location of study outside Canada,3575,3230,2185,2830,2575,3630
      Americas,350,225,220,300,215,430
        United States of America,180,135,135,135,95,100
        Mexico,10,0,10,0,0,25
        Cuba,0,0,0,0,0,0
        Haiti,0,0,0,0,0,0
        Jamaica,30,25,35,40,55,120
        Brazil,30,0,0,0,0,0
        Colombia,10,20,0,0,0,10
        Peru,0,0,0,0,0,0
        Venezuela,20,0,0,0,0,10
        Other locations of study in Americas,70,35,15,100,60,140
      Europe,225,160,110,115,115,230
        Belgium,0,0,0,0,0,0
        France,10,15,0,0,0,0
        Germany,0,0,10,0,0,10
        Netherlands,0,0,0,0,0,0
        Switzerland,0,0,0,0,0,0
        Hungary,15,0,10,0,0,0
        Moldova,0,0,0,0,0,0
        Poland,0,0,0,0,0,15
        Romania,10,0,0,0,10,0
        Russian Federation,10,10,0,10,15,25
        Ukraine,20,10,10,15,0,15
        Ireland,0,0,0,0,0,0
        United Kingdom,115,100,65,70,65,135
        Bosnia and Herzegovina,0,0,0,0,0,0
        Italy,10,0,0,0,0,0
        Serbia,0,0,0,0,0,0
        Other locations of study in Europe,30,0,0,10,10,20
      Africa,120,70,30,95,135,175
        Nigeria,55,20,0,45,30,70
        Algeria,0,0,0,0,40,0
        Morocco,0,0,0,0,0,0
        Tunisia,0,0,0,0,0,0
        Egypt,0,20,0,15,15,20
"        South Africa, Republic of",0,0,15,0,0,0
        Other locations of study in Africa,55,25,0,30,40,75
      Asia,2865,2740,1810,2295,2095,2780
        Iran,25,0,25,0,0,0
        Iraq,0,20,0,10,0,0
        Israel,0,0,0,0,0,0
        Lebanon,10,20,0,0,0,0
        Syria,25,0,0,0,15,10
        Turkey,0,0,10,0,0,0
        China,1040,1110,825,80,85,175
        Taiwan,30,35,50,0,0,0
        Hong Kong,90,165,150,0,10,15
        Japan,20,30,15,0,0,0
"        Korea, South",20,10,20,0,0,20
        Philippines,295,465,275,615,550,1100
        Viet Nam,0,15,0,0,10,10
        Bangladesh,90,25,10,85,140,145
        Sri Lanka,80,175,80,415,205,140
        India,1000,455,295,795,745,885
        Pakistan,70,110,30,220,255,220
        Other locations of study in Asia,65,95,30,65,60,35
      Oceania,20,40,15,20,10,15
        Australia,15,35,15,0,10,10
        New Zealand,0,0,0,0,0,0
        Other locations of study in Oceania,0,0,0,0,0,0
Total - Labour force aged 15 years and over by class of worker including job permanency - 25% sample data,12435,13135,10635,13210,8875,13145
  Class of worker - not applicable,555,680,670,555,385,615
  All classes of workers,11880,12450,9970,12655,8490,12535
    Employee,10175,10650,8485,11285,7615,11315
      Permanent position,8270,8650,6630,9340,6285,9460
      Temporary position,1900,2000,1855,1950,1330,1855
        Fixed term (1 year or more),860,805,835,815,450,650
"        Casual, seasonal or short-term position (less than 1 year)",1045,1200,1025,1135,880,1205
    Self-employed,1705,1805,1485,1370,875,1215
Total - Labour force aged 15 years and over by occupation - Broad category - National Occupational Classification (NOC) 2021 - 25% sample data,12435,13135,10635,13210,8875,13145
  Occupation - not applicable,555,680,670,555,385,615
  All occupations,11880,12450,9970,12655,8490,12535
    0 Legislative and senior management occupations,45,50,40,20,25,35
"    1 Business, finance and administration occupations",2325,2390,1730,2395,1255,2350
    2 Natural and applied sciences and related occupations,1540,1260,865,1210,715,1085
    3 Health occupations,910,715,660,1085,655,1040
"    4 Occupations in education, law and social, community and government services",910,930,780,1025,870,1105
"    5 Occupations in art, culture, recreation and sport",315,270,205,235,105,240
